순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,네일,KIA,1.64,11,6,1,0,0,0.857,66,59,2,12,5,68,21,12,1.08
2,하트,NC,2.74,10,5,1,0,0,0.833,62 1/3,52,2,15,2,60,22,19,1.07
3,양현종,KIA,2.84,11,4,2,0,0,0.667,69 2/3,63,6,15,3,48,24,22,1.12
4,원태인,삼성,2.86,11,5,3,0,0,0.625,63,55,4,17,3,52,21,20,1.14
5,쿠에바스,KT,2.99,11,2,5,0,0,0.286,69 1/3,52,7,17,0,73,25,23,1.00
6,신민혁,NC,3.02,10,4,3,0,0,0.571,53 2/3,66,6,4,1,39,22,18,1.30
7,헤이수스,키움,3.47,10,5,3,0,0,0.625,57,50,5,15,6,55,23,22,1.14
8,곽빈,두산,3.50,11,4,4,0,0,0.500,64 1/3,56,1,23,2,64,26,25,1.23
9,반즈,롯데,3.55,11,3,2,0,0,0.600,63 1/3,61,7,20,3,79,25,25,1.28
10,박세웅,롯데,3.59,10,5,3,0,0,0.625,57 2/3,60,3,16,3,39,29,23,1.32
11,최원태,LG,3.74,10,6,2,0,0,0.750,55 1/3,46,4,29,2,50,24,23,1.36
12,윌커슨,롯데,3.99,11,4,4,0,0,0.500,65 1/3,69,8,7,1,58,30,29,1.16
13,카스타노,NC,4.01,10,3,3,0,0,0.500,60 2/3,57,7,11,5,48,37,27,1.12
14,후라도,키움,4.13,11,4,4,0,0,0.500,65 1/3,72,8,17,2,47,31,30,1.36
15,코너,삼성,4.17,11,4,3,0,0,0.571,58 1/3,54,9,22,9,62,31,27,1.30
16,레예스,삼성,4.21,11,5,2,0,0,0.714,57 2/3,70,5,11,3,53,29,27,1.40
17,류현진,한화,4.50,11,3,4,0,0,0.429,60,67,1,17,1,55,36,30,1.40
18,김광현,SSG,4.58,11,3,3,0,0,0.500,59,52,9,20,2,61,30,30,1.22
19,오원석,SSG,4.88,12,3,3,0,1,0.500,55 1/3,56,6,26,4,47,30,30,1.48
20,엄상백,KT,5.30,11,3,6,0,0,0.333,56,62,11,18,1,65,35,33,1.43
21,엔스,LG,5.43,11,4,2,0,0,0.667,56 1/3,72,4,17,2,55,39,34,1.58
22,켈리,LG,5.60,11,2,6,0,0,0.250,62 2/3,79,9,15,5,43,44,39,1.50
